homepage_url,snapshot_url,word_count,internal_link_count,image_count,has_team_page,has_product_page,error
http://volvam.com/,,,,,,,No snapshot found
http://www.bolzter.com,,,,,,,No snapshot found
http://www.voluntis.com,,,,,,,No snapshot found
http://www.volusion.com,,,,,,,No snapshot found
http://www.volunteerspot.com/index,,,,,,,No snapshot found
http://www.vol-ve.com,,,,,,,No snapshot found
http://www.vonbismark.com,,,,,,,No snapshot found
http://www.vonjour.com,,,,,,,No snapshot found
http://www.vontravel.com,,,,,,,No snapshot found
http://www.vontoo.com,,,,,,,No snapshot found
http://www.vonus.mx,,,,,,,No snapshot found
http://www.vonage.com,http://web.archive.org/web/20031122103749/http://vonage.com/,,,,,,Failed to extract features after retries
http://procellera.com,http://web.archive.org/web/20090721171622/http://procellera.com/,,,,,,Failed to extract features after retries
http://www.vonvo.com,,,,,,,No snapshot found
http://getvoodoo.in/#home,,,,,,,No snapshot found
http://www.vontu.com,http://web.archive.org/web/20031129113008/http://www.vontu.com/,,,,,,Failed to extract features after retries
http://Voodle.io,,,,,,,No snapshot found
http://www.maxly.com/,https://web.archive.org/web/20140517202301/http://www.maxly.com/,270.0,0.0,0.0,False,False,
https://www.voodoomfg.com/,,,,,,,No snapshot found
http://voodoopitbbq.com,,,,,,,No snapshot found
http://vool.it/voolweb/public_html/footerlinks.html/?q=e1,,,,,,,No snapshot found
http://vonvon.me,http://web.archive.org/web/20150122035959/http://vonvon.me/,,,,,,Failed to extract features after retries
http://www.voolgo.com,,,,,,,No snapshot found
http://voomwell.com/,,,,,,,No snapshot found
https://field.voolks.com,,,,,,,No snapshot found
http://voonik.com,,,,,,,No snapshot found
http://www.pronoun.com,http://web.archive.org/web/20091018063314/http://www.pronoun.com/,,,,,,Failed to extract features after retries
http://www.voodootaco.com,http://web.archive.org/web/20140216092322/http://voodootaco.com/,,,,,,Failed to extract features after retries
http://www.voovio.com,,,,,,,No snapshot found
http://www.voorka.com/,,,,,,,No snapshot found
http://www.vopium.com,,,,,,,No snapshot found
http://vorvision.com/,,,,,,,No snapshot found
http://voray.com,,,,,,,No snapshot found
http://voradius.nl,,,,,,,No snapshot found
http://www.vordel.com,,,,,,,No snapshot found
http://www.vorketing.com/,,,,,,,No snapshot found
http://www.brightpointsecurity.com,,,,,,,No snapshot found
http://www.vormetric.com,,,,,,,No snapshot found
http://www.vortal.biz,,,,,,,No snapshot found
http://vortexct.com,,,,,,,No snapshot found
http://www.vosavos.com/,,,,,,,No snapshot found
http://www.voset.co.uk/,,,,,,,No snapshot found
http://www.vorbeck.com,http://web.archive.org/web/20080705025801/http://www.vorbeck.com/,,,,,,Failed to extract features after retries
http://getvosh.com,,,,,,,No snapshot found
http://www.voss-solutions.com,,,,,,,No snapshot found
http://www.vosswater.com,,,,,,,No snapshot found
http://www.opinsta.com,,,,,,,No snapshot found
http://www.vostu.com,,,,,,,No snapshot found
http://votergravity.com,,,,,,,No snapshot found
http://www.voteit.com,,,,,,,No snapshot found
http://www.votigo.com,,,,,,,No snapshot found
http://votifyapp.com,,,,,,,No snapshot found
http://www.votizen.com,,,,,,,No snapshot found
http://vouchapp.com,,,,,,,No snapshot found
https://www.vouchedfor.co.uk,,,,,,,No snapshot found
http://www.vouchar.net,,,,,,,No snapshot found
http://www.votertide.com,http://web.archive.org/web/20120117235742/http://www.votertide.com/,,,,,,Failed to extract features after retries
http://www.voucheres.com,,,,,,,No snapshot found
http://voucherlink.com,,,,,,,No snapshot found
http://vouch.com,http://web.archive.org/web/20141224224336/https://vouch.com/,,,,,,Failed to extract features after retries
http://www.vouc.hr,,,,,,,No snapshot found
http://www.vouchd.com,http://web.archive.org/web/20120607030149/http://vouchd.com/,,,,,,Failed to extract features after retries
http://www.voverc.com,,,,,,,No snapshot found
http://www.voulezvousdiner.com,,,,,,,No snapshot found
http://www.vovici.com,,,,,,,No snapshot found
http://www.vouchercloud.com,http://web.archive.org/web/20110430192204/http://www.vouchercloud.com/,,,,,,Failed to extract features after retries
http://vox.io,,,,,,,No snapshot found
http://www.vow.cn/en/,,,,,,,No snapshot found
http://www.voxmedia.com,,,,,,,No snapshot found
http://www.voxmobile.com,,,,,,,No snapshot found
http://voxapp.com,,,,,,,No snapshot found
http://voxa.com,,,,,,,No snapshot found
https://www.voxbone.com,,,,,,,No snapshot found
http://voxbright.com,,,,,,,No snapshot found
http://voxel.com,,,,,,,No snapshot found
http://www.vowtobechic.com,http://web.archive.org/web/20140305090018/http://www.vowtobechic.com/?,,,,,,Failed to extract features after retries
http://www.voxel.net,,,,,,,No snapshot found
http://www.voxel.pl/pl,,,,,,,No snapshot found
http://voxel8.co/,,,,,,,No snapshot found
http://www.voxer.com,,,,,,,No snapshot found
http://www.voxfeed.com/,,,,,,,No snapshot found
http://www.voxeet.com,http://web.archive.org/web/20140131125833/http://www.voxeet.com/,,,,,,Failed to extract features after retries
http://www.voxify.com,,,,,,,No snapshot found
http://voxli.com,,,,,,,No snapshot found
http://www.voxiebox.com,,,,,,,No snapshot found
http://voxeo.com,http://web.archive.org/web/20091109210349/http://www.voxeo.com/,,,,,,Failed to extract features after retries
http://www.voxox.com,,,,,,,No snapshot found
http://www.voxpop.tv,,,,,,,No snapshot found
http://voxpop.cl,,,,,,,No snapshot found
http://www.voxie.com/,http://web.archive.org/web/20140106020114/http://voxie.com/,,,,,,Failed to extract features after retries
http://voxpopclothing.com,,,,,,,No snapshot found
http://www.voxpopme.com,,,,,,,No snapshot found
http://www.voxound.com,http://web.archive.org/web/20080702210827/http://www.voxound.com/,,,,,,Failed to extract features after retries
http://www.voxware.com,,,,,,,No snapshot found
http://www.voxy.com,,,,,,,No snapshot found
http://www.voyaldoc.com,,,,,,,No snapshot found
http://voxweb.rocks/,http://web.archive.org/web/20150810214817/http://www.voxweb.rocks/?,35.0,0.0,4.0,False,False,
http://Voya.ge,,,,,,,No snapshot found
http://voyagemedical.com,,,,,,,No snapshot found
http://voxxter.ru,http://web.archive.org/web/20120530184623/http://www.voxxter.ru/,,,,,,Failed to extract features after retries
http://voyagertherapeutics.com,,,,,,,No snapshot found
http://voyagermed.com/,,,,,,,No snapshot found
http://voyantic.com/,,,,,,,No snapshot found
http://www.voyaa.com,http://web.archive.org/web/20140209010350/http://www.voyaa.com/,,,,,,Failed to extract features after retries
http://www.VoyageByMe.com,http://web.archive.org/web/20131109005216/http://voyagebyme.com/,,,,,,Failed to extract features after retries
http://www.voylla.com,https://web.archive.org/web/20121022202152/http://www.voylla.com,245.0,156.0,110.0,False,False,
http://www.voyando.com,http://web.archive.org/web/20130529025933/http://www.voyando.com/,,,,,,Failed to extract features after retries
http://www.madebyvoz.com,,,,,,,No snapshot found
http://voyomotive.com/,,,,,,,No snapshot found
http://voyat.com/,http://web.archive.org/web/20121231121158/http://www.voyat.com/,,,,,,Failed to extract features after retries
http://voz.io,,,,,,,No snapshot found
http://voyava.com/,http://web.archive.org/web/20060821003839/http://www.voyava.com/,,,,,,Failed to extract features after retries
http://vpeptech.com,,,,,,,No snapshot found
http://www.vpersonalize.com,,,,,,,No snapshot found
http://www.voztele.com,https://web.archive.org/web/20060321070559/http://www.voztele.com,79.0,0.0,27.0,False,False,
http://www.vpisystems.com,,,,,,,No snapshot found
https://www.vpngeist.com/,,,,,,,No snapshot found
http://corp.vpod.tv,,,,,,,No snapshot found
http://www.vpon.com,,,,,,,No snapshot found
http://en.ktovputi.ru/,,,,,,,No snapshot found
http://vozero.com.br/,http://web.archive.org/web/20130221021005/http://www.vozero.com.br/,,,,,,Failed to extract features after retries
